JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
0.01	0.000	0.000	3.10
0.01	0.000	0.000	5.59
0.01	0.000	0.000	0.99
0.01	0.000	0.000	5.59
0.01	0.000	0.000	3.82
0.01	0.000	0.000	0.62
0.02	0.000	0.000	2.96
0.02	0.000	0.000	0.61
0.02	0.000	0.000	2.04
0.02	0.000	0.000	3.02
0.02	0.000	0.000	5.45
0.02	0.000	0.000	3.52
0.02	0.000	0.000	0.03
0.02	0.000	0.000	1.11
0.02	0.000	0.000	0.95
0.03	0.000	0.000	0.17
0.03	0.000	0.000	1.02
0.03	0.000	0.000	0.79
0.03	0.000	0.000	2.76
0.03	0.000	0.000	1.90
0.03	0.000	0.000	5.55
0.03	0.000	0.000	1.22
0.03	0.000	0.000	4.67
0.03	0.000	0.000	4.78
0.03	0.000	0.000	0.03
0.04	0.000	0.000	5.53
0.04	0.000	0.000	4.68
0.04	0.000	0.000	3.25
0.04	0.000	0.000	3.78
0.04	0.000	0.000	2.85
0.04	0.000	0.000	5.55
0.04	0.000	0.000	3.24
0.04	0.000	0.000	0.72
0.04	0.000	0.000	4.68
0.04	0.000	0.000	5.94
0.05	0.000	0.000	1.83
0.05	0.000	0.000	5.73
0.05	0.000	0.000	4.22
0.05	0.000	0.000	4.45
0.05	0.000	0.000	6.18
0.05	0.000	0.000	4.98
0.05	0.000	0.000	2.47
0.05	0.000	0.000	4.53
0.05	0.000	0.000	1.11
0.05	0.000	0.000	3.46
0.06	0.000	0.000	4.10
0.06	0.000	0.000	5.69
0.06	0.000	0.000	5.24
0.06	0.000	0.000	2.75
0.06	0.000	0.000	1.88
0.06	0.000	0.000	6.21
0.06	0.000	0.000	1.30
0.06	0.000	0.000	0.86
0.06	0.000	0.000	2.37
0.06	0.000	0.000	2.85
0.07	0.000	0.000	4.40
0.07	0.000	0.000	4.02
0.07	0.000	0.000	2.06
0.07	0.000	0.000	1.38
0.07	0.000	0.000	3.70
0.07	0.000	0.000	0.35
0.07	0.000	0.000	4.22
0.07	0.000	0.000	0.87
0.07	0.000	0.000	5.88
0.07	0.000	0.000	2.15
0.07	0.000	0.000	3.43
0.08	0.000	0.000	1.78
0.08	0.000	0.000	3.09
0.08	0.000	0.000	5.39
0.08	0.000	0.000	0.85
0.08	0.000	0.000	0.32
0.08	0.000	0.000	6.21
0.08	0.000	0.000	5.99
0.08	0.000	0.000	0.03
0.08	0.000	0.000	0.61
0.08	0.000	0.000	6.27
0.09	0.000	0.000	3.15
0.09	0.000	0.000	5.05
0.09	0.000	0.000	4.22
0.09	0.000	0.000	5.15
0.09	0.000	0.000	0.93
0.09	0.000	0.000	5.56
0.09	0.000	0.000	5.52
