WaveHs	WaveTp	WaveDirection	CraneWire Max Tension	CraneWire Min Tension	sling1 Max Tension	sling1 Min Tension	sling2 Max Tension	sling2 Min Tension	sling3 Max Tension	sling3 Min Tension	sling4 Max Tension	sling4 Min Tension
1.500000	4.000000	165.000000	109.214279	72.781670	28.325979	19.334698	31.371107	19.529593	30.508528	19.482079	28.864012	19.275984
1.500000	4.000000	165.000000	111.555573	64.642761	31.010019	17.259289	30.331686	17.005001	30.016245	17.096598	31.816055	17.260143
1.500000	4.000000	165.000000	121.338943	74.214592	32.654850	19.718128	33.786819	19.586668	33.313240	19.713825	33.379684	19.612309
1.500000	4.000000	165.000000	105.082901	71.199966	28.208309	19.084267	28.454248	18.661354	28.374660	18.830374	28.798992	19.100315
1.500000	4.000000	165.000000	103.126839	72.743858	28.098072	19.050430	28.052240	19.447798	27.696838	19.502623	28.494402	18.770159
1.500000	4.000000	165.000000	120.021767	74.056976	30.743296	19.800949	34.960922	19.637630	33.811588	19.697853	30.913013	19.820480
1.500000	4.000000	165.000000	106.062965	68.472778	28.730694	18.096432	29.061094	18.461700	28.789309	18.368931	29.119162	17.980106
1.500000	4.000000	165.000000	114.687798	73.135300	31.178017	19.566790	30.635540	19.156773	30.529854	19.303707	31.429623	19.511490
1.500000	4.000000	165.000000	105.554382	73.629875	28.528191	19.490036	28.740337	19.439474	28.576298	19.539072	29.245321	19.295893
1.500000	4.000000	165.000000	109.133858	74.140404	29.410938	19.584713	30.074266	19.868944	29.755560	19.926437	29.658392	19.417892
1.500000	4.000000	180.000000	111.660896	70.741463	31.358446	18.743057	29.489912	18.869452	29.489912	18.869452	31.358446	18.743057
1.500000	4.000000	180.000000	108.793655	64.885391	29.047138	17.331617	29.547932	17.088202	29.547932	17.088202	29.047138	17.331617
1.500000	4.000000	180.000000	120.266312	71.045998	32.019814	18.960009	32.801334	18.843410	32.801334	18.843410	32.019814	18.960009
1.500000	4.000000	180.000000	108.185013	70.005638	30.131945	18.557375	29.034758	18.661751	29.034758	18.661751	30.131945	18.557375
1.500000	4.000000	180.000000	106.182343	73.290741	28.327730	19.336317	29.138657	19.484491	29.138657	19.484491	28.327730	19.336317
1.500000	4.000000	180.000000	111.168320	73.201912	29.866022	19.561632	30.288563	19.370457	30.288563	19.370457	29.866022	19.561632
