Hs	Tp	wd	seed	Tmax	Tmin
3.5	5	165	1	3.14	0.06
3.5	5	180	1	1.79	0.04
3.5	5	165	1	0.03	0.07
3.5	5	165	2	3.24	0.09
3.5	5	180	2	1.89	0.05
3.5	5	165	2	0.13	0.07
3.5	5	165	3	3.04	0.12
3.5	5	180	3	1.75	0.10
3.5	5	165	3	0.07	0.02
3.5	6	165	1	2.14	0.06
3.5	6	180	1	0.79	0.07
3.5	6	165	1	0.53	0.03
3.5	6	165	2	2.17	0.09
3.5	6	180	2	0.89	0.14
3.5	6	165	2	0.93	0.17
3.5	6	165	3	2.04	0.05
3.5	6	180	3	0.75	0.03
3.5	6	165	3	0.77	0.05
2.5	5	165	1	1.14	0.01
2.5	5	180	1	0.79	0.09
2.5	5	165	1	0.03	0.12
2.5	5	165	2	2.44	0.06
2.5	5	180	2	0.89	0.04
2.5	5	165	2	0.13	0.07
2.5	5	165	3	2.04	0.06
2.5	5	180	3	0.75	0.04
2.5	5	165	3	0.07	0.07
2.5	6	165	1	1.14	0.06
2.5	6	180	1	0.79	0.04
2.5	6	165	1	0.53	0.07
2.5	6	165	2	1.24	0.06
2.5	6	180	2	0.89	0.04
2.5	6	165	2	0.93	0.07
2.5	6	165	3	1.04	0.06
2.5	6	180	3	0.75	0.04
2.5	6	165	3	0.77	0.07
