WaveDirection	WaveHs	WaveTp	Crane Wire_Max_Tension	Crane Wire_Min_Tension	Pennant_Max_Tension	Pennant_Min_Tension	Sling1_Max_Tension	Sling1_Min_Tension	Sling2_Max_Tension	Sling2_Min_Tension
150.000000	1.000000	5.000000	225.048569	116.169075	173.673599	71.325966	86.270622	36.768196	101.916687	29.409407
150.000000	1.000000	5.000000	203.303284	123.222923	153.473755	87.268791	83.339973	42.123177	79.756401	42.501404
150.000000	1.000000	5.000000	196.856125	138.259033	147.381943	96.739799	78.812302	26.762478	79.696770	35.671722
150.000000	1.000000	5.000000	196.155777	137.602768	146.543686	90.825859	80.135521	40.636375	81.462151	44.649487
150.000000	1.000000	5.000000	197.744492	141.655273	148.144180	95.857307	83.723091	43.731350	81.206230	46.311054
150.000000	1.000000	5.000000	210.298401	137.593414	158.768478	98.456215	89.246086	38.065548	84.095421	37.232750
150.000000	1.000000	5.000000	207.624054	122.113815	156.583527	76.616211	91.849136	26.975870	104.382896	15.142936
150.000000	1.000000	5.000000	198.492020	121.483269	148.697662	83.673630	82.229279	36.355572	88.426598	30.529858
150.000000	1.000000	5.000000	198.404068	143.476974	148.634125	103.331696	80.709541	33.020870	79.280403	33.406151
150.000000	1.000000	5.000000	197.695831	135.365417	148.122253	96.769966	78.978584	46.426163	77.528595	47.139221
150.000000	1.000000	5.000000	196.365509	142.500153	146.786316	102.037743	80.439079	30.175303	86.749535	28.604181
150.000000	1.000000	5.000000	198.194000	130.392303	148.511765	87.641281	80.742126	37.146076	80.507019	39.462002
150.000000	1.000000	5.000000	198.011871	137.127838	148.321304	92.972618	78.416893	32.117622	81.900833	33.332409
150.000000	1.000000	5.000000	196.253662	135.654907	146.603012	95.806099	81.274620	27.967505	82.421532	27.791094
150.000000	1.000000	5.000000	197.680038	135.338516	148.017548	98.231705	78.956886	36.065426	78.423943	38.871841
150.000000	1.000000	5.000000	199.502411	136.969940	149.737259	101.520294	78.682892	31.128992	80.620888	30.719852
150.000000	1.000000	5.000000	199.481232	142.760269	149.574326	102.729790	81.304047	41.309731	84.245964	42.871578
150.000000	1.000000	5.000000	199.514267	141.512665	149.585983	105.752762	80.201492	41.332634	80.836357	41.009407
150.000000	1.000000	5.000000	224.241470	115.258118	172.987000	70.412216	88.653435	36.176846	95.099442	33.583847
150.000000	1.000000	5.000000	198.239838	142.924957	148.547379	97.455544	79.187866	41.910671	78.672905	42.261578
150.000000	1.000000	5.000000	216.496460	121.007797	165.926025	75.362617	90.523209	32.600967	105.446587	29.877285
150.000000	1.000000	5.000000	198.707199	144.419220	148.800903	105.214104	81.801163	36.301563	83.794319	38.017216
150.000000	1.000000	5.000000	197.743500	132.769638	148.132401	90.829636	80.403725	27.659559	84.290146	29.928766
150.000000	1.000000	5.000000	201.366684	135.271484	151.983719	91.234360	88.923080	23.030394	96.307915	23.329346
150.000000	1.000000	5.000000	199.766327	138.656219	149.847504	98.012886	84.543625	26.490740	79.306030	29.156719
150.000000	1.000000	5.000000	201.358734	127.070427	151.012802	80.966774	79.794060	38.206081	80.882004	37.424652
150.000000	1.000000	5.000000	196.176956	138.482468	146.514206	97.695114	80.454178	33.051247	80.700348	34.667992
150.000000	1.000000	5.000000	196.301239	141.567551	147.127151	99.688187	87.372971	23.022257	84.361435	20.439602
150.000000	1.000000	5.000000	199.116226	141.374588	149.301346	103.459137	85.604240	34.090595	83.490952	31.769945
150.000000	1.000000	5.000000	201.864105	140.089096	151.626022	103.200226	81.331398	37.702866	80.715714	36.697052
150.000000	1.500000	5.000000	209.980743	131.203033	158.325439	84.541626	87.374603	31.307734	98.847816	27.931648
150.000000	1.500000	5.000000	197.941315	136.414474	148.464661	91.669968	83.567406	31.151726	85.683334	30.379078
150.000000	1.500000	5.000000	277.248016	105.142380	224.655716	60.255871	134.697296	17.096836	128.321609	14.275095
150.000000	1.500000	5.000000	200.515030	137.741592	150.665863	98.920189	87.598053	27.343037	89.972382	28.996092
150.000000	1.500000	5.000000	197.682266	133.804428	147.751816	94.087639	90.155914	26.029882	88.836143	21.847904
150.000000	1.500000	5.000000	225.914154	127.686188	175.371887	81.794518	101.016792	16.878481	120.723839	19.699375
150.000000	1.500000	5.000000	201.318161	137.601776	150.895706	96.699554	86.692963	23.010977	89.137169	23.339811
150.000000	1.500000	5.000000	234.125702	114.199142	182.353226	69.492889	101.368942	29.964392	108.818100	18.887667
150.000000	1.500000	5.000000	227.314987	123.390091	175.934647	77.871620	102.919365	32.415375	127.422821	30.695103
150.000000	1.500000	5.000000	202.260986	136.225540	152.524994	89.129440	98.875175	27.762506	84.196236	27.410275
150.000000	1.500000	5.000000	203.397751	128.303268	152.314133	81.889206	87.352882	31.948210	89.953239	18.707613
150.000000	1.500000	5.000000	217.669495	128.901306	166.682068	81.852287	87.337837	31.148689	95.923599	27.656681
150.000000	1.500000	5.000000	204.750504	133.448151	154.881546	89.401382	81.295776	33.169708	83.052017	32.087189
150.000000	1.500000	5.000000	197.341248	133.280838	147.650665	93.655258	86.060982	26.944412	91.043350	28.581099
150.000000	1.500000	5.000000	204.694504	139.623108	154.851868	97.879425	90.089249	17.460690	107.684502	15.087140
150.000000	1.500000	5.000000	213.162491	119.519096	161.894012	74.274567	83.065987	38.767288	88.388474	34.529446
150.000000	1.500000	5.000000	214.016129	125.016487	163.174484	79.561317	95.112007	27.018436	103.981644	20.631100
150.000000	1.500000	5.000000	202.614990	141.214569	152.748993	96.308006	88.982018	20.404678	91.000160	16.277086
150.000000	1.500000	5.000000	198.863785	140.446655	149.435287	103.325699	84.422722	28.078697	86.457710	29.015837
150.000000	1.500000	5.000000	221.105148	118.787979	169.593796	73.551659	91.069885	34.686268	90.800087	32.931301
150.000000	1.500000	5.000000	216.430771	134.243530	166.543472	90.395142	98.612114	28.385551	101.149124	22.416658
150.000000	1.500000	5.000000	225.488785	131.398071	174.693405	87.521240	97.891869	27.648230	113.841690	23.991478
150.000000	1.500000	5.000000	220.744995	124.296524	169.327774	78.977882	91.285889	36.216789	91.184120	33.150490
150.000000	1.500000	5.000000	230.883560	124.639664	179.345413	82.911453	91.308533	29.921934	110.705124	32.066380
150.000000	1.500000	5.000000	218.370407	136.979416	165.508728	99.197701	92.586983	27.752174	95.664230	23.808126
150.000000	1.500000	5.000000	201.798996	137.898499	151.451523	90.791283	80.332703	44.295376	79.714088	46.057789
150.000000	1.500000	5.000000	214.493668	141.832077	162.375046	103.416206	86.521805	35.913361	86.427704	35.358429
150.000000	1.500000	5.000000	205.841858	135.108276	155.401901	87.858124	87.392418	27.499550	96.303055	28.395769
150.000000	1.500000	5.000000	206.388184	130.853989	156.080078	91.280922	84.948784	31.733479	86.286789	31.915134
150.000000	1.500000	5.000000	200.117447	140.363846	150.102219	104.123123	80.097244	31.315416	82.183136	30.729994
150.000000	2.000000	5.000000	215.893646	137.503311	164.979843	90.052567	100.013809	21.001806	101.876862	18.664145
150.000000	2.000000	5.000000	208.979492	133.424789	157.757309	86.550819	92.242729	22.246733	90.993187	17.636404
150.000000	2.000000	5.000000	217.325470	138.988739	166.354614	94.961227	102.719475	16.519775	92.522156	15.564830
150.000000	2.000000	5.000000	210.957001	136.049301	161.698502	90.499344	84.321159	36.138287	100.951866	30.895689
150.000000	2.000000	5.000000	236.289780	111.578926	185.710602	66.799393	99.396935	23.534855	108.941208	25.233212
150.000000	2.000000	5.000000	268.341675	100.527008	215.003021	56.863647	110.827522	25.607441	114.289703	27.121874
150.000000	2.000000	5.000000	204.400803	137.725113	155.471573	89.370422	92.636696	9.266007	118.408188	11.421658
150.000000	2.000000	5.000000	213.672256	141.689056	162.842987	94.025368	97.336525	14.797427	101.189178	13.187333
150.000000	2.000000	5.000000	217.741699	117.349220	166.727448	70.013939	96.587181	11.288512	95.059349	18.952723
150.000000	2.000000	5.000000	210.405106	140.987061	159.513092	95.533371	93.868919	17.387638	99.803917	17.674540
150.000000	2.000000	5.000000	213.047607	114.198059	162.144501	80.054008	86.109467	38.606544	86.551224	39.926128
150.000000	2.000000	5.000000	213.124634	121.399071	162.025772	75.624466	97.123932	24.852226	101.695267	21.030441
150.000000	2.000000	5.000000	217.826614	122.892250	167.231003	77.610298	97.367973	30.628531	111.823425	26.870317
150.000000	2.000000	5.000000	208.488464	134.661163	157.712112	94.531258	95.477707	29.951149	89.864525	28.729935
150.000000	2.000000	5.000000	213.929123	138.453064	161.882706	98.720924	93.393410	20.016996	97.302353	20.613531
150.000000	2.000000	5.000000	250.406250	127.152794	197.524460	82.419861	95.199936	15.598907	149.470047	16.311785
150.000000	2.000000	5.000000	220.894379	126.215202	169.569946	80.916306	100.385422	20.266623	102.308350	24.404789
150.000000	2.000000	5.000000	218.837463	138.924194	165.960388	93.689690	90.972824	18.904739	85.509750	17.434242
150.000000	2.000000	5.000000	211.811432	134.834717	161.909363	90.566399	99.654961	14.793196	107.969353	17.679390
150.000000	2.000000	5.000000	212.003372	134.827026	162.154480	96.190918	89.286758	21.388620	96.403893	20.101507
150.000000	2.000000	5.000000	206.960602	135.477356	156.862732	88.127075	94.326225	9.593061	98.968979	11.512917
150.000000	2.000000	5.000000	227.936768	120.233574	176.395920	74.559311	91.259232	31.542236	107.267769	20.818100
150.000000	2.000000	5.000000	272.507416	92.844444	218.156067	48.262028	120.075943	11.658681	142.882111	4.496647
150.000000	2.000000	5.000000	241.099518	108.957840	188.206345	64.447784	110.733376	22.507317	100.690178	25.915138
150.000000	2.000000	5.000000	216.531433	129.662964	164.215591	94.252022	96.021004	13.634241	93.329750	17.228539
150.000000	2.000000	5.000000	215.307190	117.742516	164.385239	70.707687	96.996063	25.138071	125.532982	21.971411
150.000000	2.000000	5.000000	228.873398	112.539581	177.583084	68.315994	109.223869	23.581493	109.553528	20.636583
150.000000	2.000000	5.000000	199.205902	138.877014	149.030380	95.495193	87.195770	21.393393	96.041267	20.572403
150.000000	2.000000	5.000000	210.057205	126.503410	159.258881	80.624985	98.031891	26.977709	102.414536	27.083143
150.000000	2.000000	5.000000	209.522842	128.306900	159.496979	82.191216	105.864807	14.563638	95.480591	6.220222
150.000000	2.500000	5.000000	231.131027	134.294250	178.482803	88.232841	111.219833	8.674679	105.215256	16.885679
150.000000	2.500000	5.000000	270.718475	84.616470	208.280853	39.636520	126.795662	13.662673	94.961075	13.490701
150.000000	2.500000	5.000000	218.369171	124.117310	168.013779	90.015160	99.629623	12.048381	101.615379	11.269095
150.000000	2.500000	5.000000	221.929642	129.799408	169.376831	82.765213	104.683434	8.635046	93.858467	11.527882
150.000000	2.500000	5.000000	215.298279	129.599945	164.899734	83.401917	100.514526	12.487016	102.837524	13.963196
150.000000	2.500000	5.000000	215.476807	133.998276	164.935028	87.487465	102.060661	18.645519	99.060783	16.058792
150.000000	2.500000	5.000000	225.718826	137.261261	172.125793	90.486725	93.173981	21.096832	100.350296	19.397619
150.000000	2.500000	5.000000	246.445267	111.779533	193.522507	64.707108	97.259331	7.849273	107.837814	17.053379
150.000000	2.500000	5.000000	239.626312	115.873016	187.147552	69.302170	123.631142	7.059099	123.575020	0.000000
150.000000	2.500000	5.000000	213.383072	131.523666	162.434540	86.401237	115.961777	12.181232	102.671364	14.490773
150.000000	2.500000	5.000000	232.663422	123.735817	182.138916	77.911224	118.826920	12.700367	112.132477	14.622432
150.000000	2.500000	5.000000	239.453751	96.535316	183.689667	56.226723	117.362450	28.285147	98.372696	23.206179
150.000000	2.500000	5.000000	217.425888	130.792007	162.171417	83.819710	88.061623	33.760635	93.404663	35.146885
150.000000	2.500000	5.000000	233.072693	133.982040	177.228317	86.292320	113.837952	13.239554	100.287628	12.937445
150.000000	2.500000	5.000000	236.322754	126.268440	185.108170	78.609863	92.045906	12.589865	118.112953	13.833047
150.000000	2.500000	5.000000	227.762451	128.890656	173.293488	82.014259	97.132881	5.244821	102.176346	4.905375
150.000000	2.500000	5.000000	231.332626	123.631546	178.967834	78.866890	121.387093	0.306721	115.186348	4.988936
150.000000	2.500000	5.000000	258.140015	111.144409	205.715271	66.880600	116.041618	20.047724	114.873665	21.136063
150.000000	2.500000	5.000000	226.517670	136.430984	172.378326	89.413467	103.480217	17.931131	92.417473	17.038277
150.000000	2.500000	5.000000	259.130341	130.975632	206.862106	87.623352	110.708672	13.142461	134.641312	5.541246
150.000000	2.500000	5.000000	220.837082	128.498474	170.138733	82.204781	108.040031	2.782788	117.187035	11.287111
150.000000	2.500000	5.000000	222.908676	126.972397	169.417053	80.224991	103.902657	17.348269	96.560150	24.706196
150.000000	2.500000	5.000000	229.472778	130.434387	179.132843	84.134514	112.939613	6.399593	102.913765	1.035203
150.000000	2.500000	5.000000	246.205154	130.306458	194.474579	82.998894	129.403595	2.531240	117.885262	9.888818
