WaveHs	WaveTp	WaveDirection	Rayleigh max 30min Dynamic z	Rayleigh max 30min GZ-Velocity	Rayleigh max 30min GZ-Acceleration
1.500000	4.000000	165.000000	0.028499	0.039139	0.069201
1.500000	4.000000	180.000000	0.029829	0.036793	0.055576
1.500000	4.000000	195.000000	0.037014	0.044019	0.057974
1.500000	5.000000	165.000000	0.097895	0.107270	0.125623
1.500000	5.000000	180.000000	0.116558	0.125665	0.139286
1.500000	5.000000	195.000000	0.138204	0.152694	0.171544
1.500000	6.000000	165.000000	0.209119	0.190887	0.185320
1.500000	6.000000	180.000000	0.223046	0.213679	0.213891
1.500000	6.000000	195.000000	0.250055	0.238771	0.239307
1.500000	7.000000	165.000000	0.374680	0.295824	0.248471
1.500000	7.000000	180.000000	0.359819	0.293578	0.256061
1.500000	7.000000	195.000000	0.408906	0.333524	0.290270
1.500000	8.000000	165.000000	0.541849	0.389598	0.294975
1.500000	8.000000	180.000000	0.511905	0.375759	0.293777
1.500000	8.000000	195.000000	0.565194	0.418576	0.329257
1.500000	9.000000	165.000000	0.701070	0.467123	0.328662
1.500000	9.000000	180.000000	0.651232	0.437738	0.313361
1.500000	9.000000	195.000000	0.693473	0.474814	0.346138
1.500000	10.000000	165.000000	0.790442	0.499499	0.334911
1.500000	10.000000	180.000000	0.742287	0.471327	0.321302
1.500000	10.000000	195.000000	0.779538	0.506017	0.351831
1.500000	11.000000	165.000000	0.887624	0.534606	0.342820
1.500000	11.000000	180.000000	0.838023	0.503850	0.326126
1.500000	11.000000	195.000000	0.862231	0.529870	0.350319
1.500000	12.000000	165.000000	0.974491	0.558690	0.342190
1.500000	12.000000	180.000000	0.918649	0.523401	0.322883
1.500000	12.000000	195.000000	0.928485	0.540174	0.340311
1.500000	13.000000	165.000000	1.029687	0.565804	0.334000
1.500000	13.000000	180.000000	0.974567	0.532497	0.315349
1.500000	13.000000	195.000000	0.980316	0.544031	0.329722
1.500000	14.000000	165.000000	1.069502	0.559964	0.318145
1.500000	14.000000	180.000000	1.018015	0.529498	0.300955
1.500000	14.000000	195.000000	1.016169	0.537896	0.312830
1.500000	15.000000	165.000000	1.088162	0.544595	0.297481
1.500000	15.000000	180.000000	1.042213	0.516913	0.282664
1.500000	15.000000	195.000000	1.036449	0.521389	0.290778
1.500000	16.000000	165.000000	1.124569	0.535578	0.282474
1.500000	16.000000	180.000000	1.084250	0.510720	0.267949
1.500000	16.000000	195.000000	1.075627	0.512309	0.273785
1.750000	5.000000	165.000000	0.109121	0.120300	0.140905
1.750000	5.000000	180.000000	0.129691	0.139998	0.155322
1.750000	5.000000	195.000000	0.155830	0.172607	0.194652
1.750000	6.000000	165.000000	0.242194	0.224721	0.222017
1.750000	6.000000	180.000000	0.268938	0.261547	0.264609
1.750000	6.000000	195.000000	0.297981	0.289860	0.293837
1.750000	7.000000	165.000000	0.437125	0.345129	0.289894
1.750000	7.000000	180.000000	0.419788	0.342508	0.298745
1.750000	7.000000	195.000000	0.477055	0.389111	0.338653
1.750000	8.000000	165.000000	0.632159	0.454534	0.344160
